FAO_Category,FAO_Crop,Climate Zone,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Forages,Alfalfa Hay,Temperate,,,,I,D,M,L,,,,,
Forages,Alfalfa Hay,Subtropical,,,,I,D,M,L,,I,D,M,L
Forages,Alfalfa Hay,Tropical,,,,I,D,M,L,,I,D,M,L
Cereals,Barley/Oats/Wheat,Temperate,,,,I,D,M,M,L,,,,
Cereals,Barley/Oats/Wheat,Subtropical,,,,I,D,M,M,L,L,,,
Legumes,Beans (dry),Temperate,,,,,,I,D,M,L,,,
Legumes,Beans (dry),Subtropical,,,,,I,D,M,L,,,,
Legumes,Beans (dry),Tropical,,,,I,D,M,L,,,,,
Fibre Crops,Cotton,Subtropical,,,,I,D,D,M,M,L,,,
Fibre Crops,Cotton,Tropical,,,I,D,D,M,M,L,,,,
Cereals,Grains (small),Temperate,,,,I,D,M,M,L,L,,,
Cereals,Grains (small),Subtropical,,,,I,D,M,M,L,L,,,
Legumes,Lentil,Temperate,,,,I,D,M,M,L,,,,
Legumes,Lentil,Subtropical,M,L,L,,,,,,,I,D,M
Cereals,Maize (grain),Temperate,,,,,I,D,M,M,L,,,
Cereals,Maize (grain),Subtropical,,,,I,D,M,M,L,L,,,
Cereals,Maize (grain),Tropical,,,I,D,D,M,L,,,,,
Cereals,Millet,Temperate,,,,I,D,M,M,L,,,,
Cereals,Millet,Subtropical,,,I,D,M,M,L,,,,,
Cereals,Millet,Tropical,,,I,D,M,M,L,,,,,
Legumes,Peas (dry),Temperate,,,,I,D,M,L,,,,,
Legumes,Peas (dry),Subtropical,,,I,D,M,L,,,,,,
Legumes,Peas (dry),Tropical,,,I,D,M,L,,,,,,
Cereals,Rice,Subtropical,,,,I,D,M,M,L,L,,,
Cereals,Rice,Tropical,D,M,M,L,I,D,M,M,L,,,I
Oil Crops,Safflower,Temperate,,,I,D,M,M,L,,,,,
Oil Crops,Safflower,Subtropical,,,,I,D,M,L,,,,,
Cereals,Sorghum,Subtropical,,,,I,D,M,M,L,,,,
Cereals,Sorghum,Tropical,,,,I,D,M,L,,,,,
Legumes,Soybeans,Temperate,,,,,I,D,M,M,L,,,
Legumes,Soybeans,Subtropical,,,,I,D,M,M,L,,,,
Legumes,Soybeans,Tropical,,,I,D,M,M,L,,,,,
Roots and Tubers,Sugarbeet,Temperate,,,,I,I,D,D,L,L,,,
Sugar Cane,Sugarcane,Tropical,I,D,D,M,M,M,M,M,M,L,L,
Oil Crops,Sunflower,Temperate,,,,,I,D,M,M,L,,,
Oil Crops,Sunflower,Subtropical,,,,I,D,M,M,,,,,
Oil Crops,Sunflower,Tropical,,,I,D,M,M,L,,,,,
Cereals,Winter Wheat,Temperate,I,I,D,D,D,M,M,L,,I,I,I
Legumes,Peas (fresh),Temperate,,,,I,D,M,L,,,,,
Legumes,Peas (fresh),Subtropical,,,I,D,M,L,,,,,,
Legumes,Peas (fresh),Tropical,,,I,D,M,L,,,,,,
Legumes,Peanuts,Temperate,,,,,I,D,D,M,L,,,
Legumes,Peanuts,Subtropical,,,,,I,D,D,M,L,,,
