Category,Units,Crop,State,Subregion,Acres07,IrrAcr07,Qty07,Acres02,IrrAcr02,Qty02
fiber,bales,cotton,Alabama,none,382566,22484,407598,523123,32654,567569
legumes,bushels,dry southern peas,Alabama,none,,,,233,14,3253
grain,bushels,oats,Alabama,none,16111,320,905087,13531,57,591232
silage,tons green,other haylage,Alabama,none,25363,252,48364,10025,,38498
hay,tons dry,other tame hay,Alabama,none,728982,8915,1388325,713951,8025,1686960
oilseed,pounds,peanuts,Alabama,none,158424,11044,396914610,176395,12534,373313101
grain,bushels,rye,Alabama,none,4034,18,74976,5985,,103691
hay,tons dry,small grain hay,Alabama,none,46537,1077,93747,33935,397,69645
hay,tons dry,alfalfa hay,Arizona,none,257407,257263,1968043,232579,232579,1844626
grain,bushels,barley,Arizona,none,31129,31129,3396006,39199,39199,4269681
fiber,bales,cotton,Arizona,none,171300,171300,513758,222722,222722,626649
legumes,bushels,dry southern peas,Arizona,none,1452,1452,20550,,,
grain,bushels,durum wheat,Arizona,none,81523,81523,8362197,93592,93592,9043827
silage,tons green,haylage from alfalfa,Arizona,none,46007,46007,167265,39558,39558,157367
silage,tons,sorghum for silage,Arizona,none,20969,20967,396620,8327,8327,173833
hay,tons dry,wild hay,Arizona,none,48697,48697,194156,41212,41212,166316
fiber,bales,cotton,Arkansas,none,854410,687334,1902073,921316,711970,1655956
hay,tons dry,other tame hay,Arkansas,none,1156999,17172,2615529,1166323,12752,2732559
grain,cwt,rice,Arkansas,none,1326377,1326377,96033069,1506615,1506615,97254798
grain,bushels,sorghum,Arkansas,none,216432,76032,20761820,203527,54537,15738086
legumes,bushels,soybeans,Arkansas,none,2819478,1843833,98903025,2888018,1673319,96257992
grain,bushels,winter wheat,Arkansas,none,696681,65896,27859060,770551,43179,34967687
hay,tons dry,alfalfa hay,California,none,986982,963086,7057014,1176021,1151351,7966902
grain,bushels,barley,California,none,44125,23999,2872476,74721,46381,5266774
silage,tons,corn for silage,California,none,460614,460514,12019578,393694,391300,10117296
fiber,bales,cotton,California,none,471378,471378,1418751,694653,694653,2056964
legumes,cwt,dry edible beans,California,none,34002,30134,709841,58420,57843,1234989
legumes,cwt,dry lima beans,California,none,28786,28213,673392,44546,42281,1039088
silage,tons green,haylage from alfalfa,California,none,82812,78944,544721,95891,91742,633052
grain,bushels,oats,California,none,25993,18141,2595144,34319,17196,2798145
silage,tons green,other haylage,California,none,223004,192990,3080551,174196,143132,2091820
hay,tons dry,other tame hay,California,none,248401,214774,1078499,251058,212243,963675
grain,cwt,rice,California,none,531075,531075,43018947,531314,531314,43581796
oilseed,pounds,safflower,California,none,47550,29892,112031287,97440,49434,208919130
hay,tons dry,small grain hay,California,none,252097,181178,652287,315166,159852,863751
silage,tons,sorghum for silage,California,none,30085,29457,536162,6020,4833,94009
sugar,tons,sugarbeets,California,none,42984,42984,1539394,55692,55680,2063080
