state,abbreviation,subregion,month,et0
Alabama,AL,none,1,1.752791035
Alabama,AL,none,2,2.406666462
Alabama,AL,none,3,3.328518598
Alabama,AL,none,4,4.372449731
Alabama,AL,none,5,4.770382415
Alabama,AL,none,6,5.207378268
Alabama,AL,none,7,5.139613164
Alabama,AL,none,8,5.002852052
Alabama,AL,none,9,4.518688568
Alabama,AL,none,10,3.542383209
Alabama,AL,none,11,2.516420945
Alabama,AL,none,12,1.987582657
Arkansas,AR,none,1,1.453566535
Arkansas,AR,none,2,2.040025529
Arkansas,AR,none,3,2.921451444
Arkansas,AR,none,4,4.196311034
Arkansas,AR,none,5,4.589150146
Arkansas,AR,none,6,5.314161964
Arkansas,AR,none,7,5.875661519
Arkansas,AR,none,8,5.908431928
Arkansas,AR,none,9,4.794944169
Arkansas,AR,none,10,3.084202888
Arkansas,AR,none,11,2.24658846
Arkansas,AR,none,12,1.695057961
Arizona,AZ,none,1,3.162291542
Arizona,AZ,none,2,3.676758063
Arizona,AZ,none,3,4.930175952
Arizona,AZ,none,4,7.489395411
Arizona,AZ,none,5,8.897593162
Arizona,AZ,none,6,9.965565859
Arizona,AZ,none,7,10.15491268
Arizona,AZ,none,8,9.005798024
Arizona,AZ,none,9,8.00599545
Arizona,AZ,none,10,5.793592523
Arizona,AZ,none,11,4.141824383
Arizona,AZ,none,12,3.017193758
California,CA,none,1,1.945972341
California,CA,none,2,2.558817877
California,CA,none,3,3.390777356
California,CA,none,4,4.758888915
California,CA,none,5,5.830253032
California,CA,none,6,6.744994493
California,CA,none,7,6.835239975
California,CA,none,8,6.533011142
California,CA,none,9,5.448184629
California,CA,none,10,3.771830935
California,CA,none,11,2.601491873
California,CA,none,12,2.071027965
Connecticut,CT,none,1,1.06849218
Connecticut,CT,none,2,1.414576003
Connecticut,CT,none,3,1.90290254
Connecticut,CT,none,4,3.050787009
Connecticut,CT,none,5,3.780384687
Connecticut,CT,none,6,4.397310701
Connecticut,CT,none,7,4.810755101
Connecticut,CT,none,8,4.270343037
Connecticut,CT,none,9,2.926935978
Connecticut,CT,none,10,2.230664872
Connecticut,CT,none,11,1.804315009
Connecticut,CT,none,12,1.218657116
Delaware,DE,none,1,1.118541335
Delaware,DE,none,2,1.595785544
Delaware,DE,none,3,2.576491956
Delaware,DE,none,4,3.36986815
Delaware,DE,none,5,4.423608762
Delaware,DE,none,6,3.952436586
Delaware,DE,none,7,4.985101353
Delaware,DE,none,8,4.509760012
Delaware,DE,none,9,3.657664859
Delaware,DE,none,10,3.16201872
Delaware,DE,none,11,1.993847026
Delaware,DE,none,12,1.518564959
Florida,FL,north,1,2.459322255
Florida,FL,north,2,2.926810093
Florida,FL,north,3,3.809365541
Florida,FL,north,4,4.774482815
Florida,FL,north,5,5.467786452
Florida,FL,north,6,5.308502868
Florida,FL,north,7,5.410569978
Florida,FL,north,8,5.120402796
Florida,FL,north,9,4.566114528
Florida,FL,north,10,4.026555025
Florida,FL,north,11,3.077264334
Florida,FL,north,12,2.407304209
Florida,FL,south,1,3.242545611
Florida,FL,south,2,3.895966156
Florida,FL,south,3,4.56721147
Florida,FL,south,4,5.474701374
Florida,FL,south,5,5.926770092
Florida,FL,south,6,5.299869814
Florida,FL,south,7,5.693423253
Florida,FL,south,8,5.39592897
Florida,FL,south,9,4.658147943
Florida,FL,south,10,4.419190306
