State,Abbreviation,subregion,Climate Zone,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,AL,none,Subtropical,136.906,126.492,149.606,122.682,103.124,146.304,145.034,108.204,122.428,85.344,127,115.316
Arkansas,AR,none,Subtropical,100.076,97.79,120.65,113.538,123.952,106.934,84.836,59.436,82.296,96.52,125.73,111.252
Arizona,AZ,none,Desert,27.432,35.814,23.368,17.018,4.572,6.604,39.624,50.546,34.29,26.924,18.034,16.51
California,CA,none,Subtropical,127.762,112.014,71.882,43.18,29.464,9.144,3.81,4.572,7.874,26.924,61.722,119.126
Connecticut,CT,none,Temperate,21.59,19.558,29.21,45.212,41.91,40.64,49.53,53.086,40.386,31.496,21.59,14.478
Delaware,DE,none,Subtropical,102.362,72.136,113.792,107.95,104.394,103.886,99.314,98.044,132.08,133.858,99.06,100.838
Florida,FL,north,Subtropical,72.39,76.2,110.744,74.422,77.216,210.82,188.976,197.104,198.882,100.838,70.358,75.438
Florida,FL,south,Subtropical,72.39,76.2,110.744,74.422,77.216,210.82,188.976,197.104,198.882,100.838,70.358,75.438
Georgia,GA,none,Subtropical,105.918,109.22,132.588,86.106,75.946,139.954,129.032,114.046,132.08,76.2,85.598,87.884
Iowa,IA,none,Temperate,26.924,30.734,45.466,87.122,134.874,124.714,95.758,89.408,68.834,59.182,45.212,22.098
Idaho,ID,none,Temperate,60.96,39.624,41.402,41.656,58.674,37.338,18.288,16.002,23.622,36.322,48.26,66.802
Illinois,IL,none,Temperate,66.802,53.086,65.786,94.996,136.906,110.744,90.17,93.218,67.564,76.2,71.374,51.054
Indiana,IN,none,Temperate,81.28,60.198,73.406,102.616,140.97,119.126,112.776,94.742,78.486,76.708,80.772,70.104
Kansas,KS,east,Temperate,25.908,34.1376,59.7408,77.724,125.2728,135.3312,107.5944,103.3272,79.8576,71.628,41.148,22.5552
Kansas,KS,west,Temperate,17.272,22.7584,39.8272,51.816,83.5152,90.2208,71.7296,68.8848,53.2384,47.752,27.432,15.0368
Kentucky,KY,none,Temperate,102.362,86.106,115.824,115.57,144.526,128.778,108.712,88.392,84.074,80.01,96.774,98.298
Louisiana,LA,none,Subtropical,133.858,117.856,132.842,116.078,103.886,163.322,123.444,107.95,126.492,108.204,140.462,127
Massachusetts,MA,none,Temperate,105.156,79.756,119.126,109.22,101.6,102.87,93.218,87.376,113.792,134.874,99.568,103.378
Maryland,MD,none,Subtropical,94.996,72.898,106.426,87.63,102.87,106.934,112.522,97.79,118.618,92.71,85.344,83.82
Maine,ME,none,Temperate,81.788,68.834,86.36,87.122,96.012,90.932,102.87,74.168,100.838,117.348,96.52,93.726
Michigan,MI,none,Temperate,56.642,43.18,50.038,66.548,93.218,79.502,81.534,78.486,76.962,74.422,69.342,54.356
Minnesota,MN,none,Temperate,24.13,18.288,32.766,54.864,93.98,110.998,103.632,86.868,76.2,66.548,40.64,18.796
Missouri,MO,none,Temperate,65.024,60.452,77.978,99.568,143.51,126.746,98.552,90.17,86.868,80.518,77.216,55.88
Mississippi,MS,none,Subtropical,144.272,129.032,143.51,136.652,111.76,136.398,122.682,104.648,100.838,89.662,129.54,131.572
Montana,MT,none,Temperate,18.288,13.97,21.59,32.512,54.102,72.898,38.354,28.448,28.194,28.448,20.574,18.288
North Carolina,NC,none,Subtropical,107.696,90.17,107.188,92.71,96.012,128.524,139.7,132.334,153.67,90.678,82.296,84.582
